name,artist,meter,chorus_cp,verse_cp,intro_cp,outro_cp,bridge_cp,release year,energy,valence,tempo,danceability
Kokomo (From The Cocktail Soundtrack),The Beach Boys,4/4,"['C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj7', 'G:min7', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj']","['C:maj', 'C:maj7', 'G:min7', 'F:maj', 'C:maj', 'C:maj7', 'G:min7', 'F:maj', 'C:maj', 'C:maj7', 'G:min7', 'F:maj']","['N', 'N']",[],"['C:maj', 'N', 'C:maj', 'N']",,,,,
Help Is On The Way,Little River Band,4/4,"['F:maj/5', 'C:maj', 'F:maj/5', 'C:maj', 'F:maj/5', 'C:maj', 'G:maj', 'F:maj/5', 'C:maj', 'F:maj/5', 'C:maj', 'F:maj/5', 'C:maj', 'G:maj', 'F:maj/5', 'C:maj', 'F:maj/5', 'C:maj', 'F:maj/5', 'C:maj', 'G:maj']","['E:maj/5', 'B:maj', 'E:maj/5', 'B:maj', 'F#:maj', 'F#:maj', 'E:maj/5', 'B:maj', 'E:maj/5', 'B:maj', 'F#:maj', 'F#:maj', 'E:maj/5', 'B:maj', 'E:maj/5', 'B:maj', 'F#:maj', 'F#:maj']","['B:maj', 'B:maj']","['E:maj/5', 'B:maj', 'E:maj/5', 'B:maj', 'F#:maj', 'F#:maj', 'E:maj/5', 'B:maj', 'E:maj/5', 'B:maj', 'F#:maj', 'F#:maj']","['F#:min', 'C#:min/3', 'A:maj/5', 'B:min']",2016,0.633,0.61,105.989,0.683
I've Got Love On My Mind,Nathalie Cole,4/4,[],"['Db:maj', 'F:min7', 'Gb:maj', 'Gb:maj/9', 'Db:maj', 'F:min7', 'Gb:maj', 'Gb:maj/9', 'Db:maj', 'F:min7', 'Gb:maj', 'Gb:maj/9', 'Db:maj', 'F:min7', 'Gb:maj', 'Gb:maj/9', 'Db:maj', 'F:min7', 'Gb:maj', 'Gb:maj/9', 'Db:maj', 'F:min7', 'Gb:maj', 'Gb:maj/9']","['E:sus4', 'E:maj', 'E:maj', 'Ab:sus4', 'Ab:maj']","['Eb:maj', 'G:min7', 'Ab:maj', 'Ab:maj/9', 'Eb:maj', 'G:min7', 'Ab:maj', 'Ab:maj/9', 'Eb:maj', 'G:min7', 'Ab:maj', 'Ab:maj/9', 'Eb:maj', 'G:min7', 'Ab:maj', 'Ab:maj/9']","['E:sus4', 'E:maj', 'E:maj']",,,,,
Doo Doo Doo Doo Doo,The Rolling Stones,4/4,"['E:min', 'G:maj', 'C:maj', 'E:min', 'E:min', 'G:maj', 'C:maj', 'E:min', 'E:min7', 'E:min7', 'A:min', 'E:min7', 'E:min', 'G:maj', 'C:maj', 'E:min']","['E:min7', 'E:min7', 'A:min', 'E:min7', 'E:min7', 'E:min7', 'A:min', 'E:min7']","['E:maj', 'G:maj', 'C:maj', 'E:maj']","['E:min', 'G:maj', 'C:maj', 'E:min']",[],1973,0.827,0.54,111.297,0.439
Ebony Eyes,The Everly Brothers,3/4,[],"['E:maj', 'E:maj/5', 'E:maj', 'E:maj/5', 'E:maj', 'E:maj/5', 'E:maj', 'E:maj/5', 'E:maj', 'E:maj/5', 'E:maj', 'E:maj/5']","['A:maj/9', 'E:maj7/5', 'B:9']",[],[],1962,0.161,0.287,84.64,0.317
Chiquitita,ABBA,4/4,"['D:maj', '(5/4)', 'D:maj', 'A:maj', 'A:maj', 'D:maj', '(5/4)', 'D:maj', 'A:maj', 'A:maj6', 'A:maj7', 'A:maj6']","['A:maj', 'D:maj', 'A:maj', 'A:maj', 'E:maj', 'A:maj', 'D:maj', 'A:maj', 'A:maj', 'E:maj', 'E:maj', 'A:maj', 'D:maj', 'A:maj', 'A:maj', 'E:maj', 'E:maj']","['*', '*', '*', '*']","['D:maj', 'D:maj', 'A:maj', 'A:maj', 'D:maj', 'D:maj', 'A:maj', 'A:maj']",[],1979,0.554,0.372,84.229,0.5
My Kinda Lover,Billy Squier,4/4,"['A:min', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'G:maj', 'A:min', 'A:min', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'G:maj', 'A:min', 'A:min', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'G:maj', 'A:min', 'A:min', 'F:maj', 'G:maj', 'A:min']","['C:maj', 'C:maj', 'G:maj', 'G:maj', 'C:maj', 'C:maj', 'G:maj', 'G:maj', 'C:maj', 'C:maj', 'G:maj', 'G:maj']","['C:maj', 'C:maj']","['A:min', 'F:maj', 'G:maj', 'A:min']","['G:maj', 'F:maj/9', 'G:maj', 'F:maj/9']",1981,0.461,0.783,95.105,0.534
Baby What You Want Me To Do,Jimmy Reed,4/4,"['E:7', 'E:7', 'E:7', 'E:7']","['E:7', 'E:7', 'E:7', 'E:7', 'E:7', 'E:7', 'E:7', 'E:7', 'E:7', 'E:7', 'E:7', 'E:7']","['E:7', 'E:7']","['E:7', 'E:7', 'E:7', 'E:7']",[],2003,0.302,0.642,94.288,0.582
Breaking Up Is Hard To Do,Neil Sedaka,4/4,"['B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj']",[],"['B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj']","['B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj', 'B:maj', 'G#:min', 'C#:min', 'F#:maj']","['B:min', 'E:maj', 'B:min', 'E:maj', 'A:maj', 'A:maj', 'B:min', 'E:maj', 'B:min', 'E:maj', 'A:maj', 'A:maj']",1960,0.799,0.965,116.112,0.743
Ain't No Sunshine,Bill Withers,4/4,"['A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7', 'A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7', 'A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7', 'A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7', 'A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7', 'A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7']",[],[],"['A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7', 'A:min7', 'A:min7', 'E:min7', 'G:7', 'A:min7']","['N', 'N', 'N', 'N']",2015,0.789,0.443,75.252,0.594
I Can Help,Billy Swan,12/8,"['C:maj', 'C:maj', 'C:maj', 'C:maj']","['C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj']","['*', 'C:maj', 'C:maj', 'C:maj', 'C:maj']","['C:maj', 'C:maj', 'C:maj', 'C:maj']","['F:maj', 'G:maj', 'C:maj', 'C:7', 'F:maj', 'G:maj', 'C:maj', 'C:7']",1974,0.675,0.53,125.313,0.471
Shock the Monkey,Peter Gabriel,4/4,"['C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj']","['D:min', 'D:min', 'D:min', 'D:min', 'D:min', 'D:min', 'D:min', 'D:min', 'D:min', 'D:min', 'D:min', 'D:min']","['D:min', 'D:min', 'D:min', 'D:min']","['F:maj', 'A:min/5', 'D:min7', 'D:min7']","['D:5', 'D:5', 'C:5', 'C:5', 'D:5', 'D:5', 'C:5', 'C:5']",1982,0.662,0.923,148.416,0.784
Trampled Under Foot,Led Zeppelin,4/4,[],"['G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min', 'G:min']","['G:min', 'G:min']","['G:min', 'G:min', 'G:min', 'G:min']","['G:min', 'C:maj/5', 'G:min', 'C:maj/5', 'G:min', 'C:maj/5', 'G:min', 'C:maj/5', 'G:min', 'C:maj/5', 'G:min', 'C:maj/5', 'G:min', 'C:maj/5', 'G:min', 'C:maj/5']",1975,0.842,0.843,111.209,0.561
Hurts To Be In Love,Gino Vanelli,4/4,"['C:maj7', 'D:maj6', 'C:maj7', 'D:maj6', 'C:maj7', 'D:maj6', 'C:maj7', 'D:maj6', 'C:maj7', 'D:maj6', 'C:maj7', 'D:maj6']","['D:maj/9', 'E:min', 'D:maj/9', 'E:min', 'D:maj/9', 'E:min', 'D:maj/9', 'E:min', 'D:maj/9', 'E:min', 'D:maj/9', 'E:min']","['C:maj7', 'D:maj6', 'C:maj7', 'D:maj6']","['C:maj7', 'D:maj6', 'C:maj7', 'D:maj6', 'C:maj7', 'D:maj6', 'C:maj7', 'D:maj6']","['E:min', 'D:maj/b7', 'C:maj', 'D:sus4', 'D:maj/b7', 'B:sus4(b7)', 'B:min7']",,,,,
Time Is On My Side,Rolling Stones,12/8,"['F:maj', 'Bb:maj', 'C:maj', 'F:maj', 'Bb:maj', 'C:maj', 'F:maj', 'Bb:maj', 'C:maj']","['D:min', 'C:maj', 'D:min', 'G:7', 'D:min', 'C:maj', 'D:min', 'G:7', 'D:min', 'C:maj', 'D:min', 'G:7']","['Bb:maj7', 'D:min']","['F:maj', 'Bb:maj', 'C:maj']","['Bb:maj', 'F:maj']",1965,0.645,0.412,99.302,0.508
You Can't Judge A Book By The Cover,Bo Diddley,4/4,"['Db:maj', 'Db:maj', 'Ab:maj', 'Ab:maj', 'Db:maj', 'Db:maj', 'Ab:maj', 'Ab:maj', 'Db:maj', 'Db:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj']","['Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj']","['Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj']","['Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj']",[],1990,0.322,0.946,114.557,0.847
Riders On The Storm,The Doors,4/4,"['E:min', 'E:min', 'E:min', 'D:maj/9', 'E:min', 'E:min', 'E:min', 'D:maj/9', 'E:min', 'E:min', 'E:min', 'D:maj/9', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'F#:min/b7', 'G:maj/13', 'F#:min/b7']","['E:min', 'F#:min/b7', 'G:maj/13', 'F#:min/b7', 'E:min', 'F#:min/b7', 'G:maj/13', 'F#:min/b7']","['E:min', 'E:min', 'E:min', 'E:min']","['E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min', 'E:min']","['E:min', 'F#:min/b7', 'G:maj/13', 'F#:min/b7']",1971,0.722,0.716,103.886,0.55
Best Thing That Ever Happened To Me,Gladys Knight & The Pips,4/4,"['A:maj7', 'A:7', 'D:maj7', 'D:maj7', 'B:maj7', 'B:7', 'E:maj7', 'E:maj7']","['A:maj7', 'A:maj7', 'B:min7', 'B:min7', 'B:maj7', 'B:maj7', 'C#:min7', 'C#:min7']","['A:maj', 'A:maj/7', 'A:maj/b7', 'A:maj/13', 'D:maj7', 'D:min6/9', 'A:maj7']",[],[],1973,0.545,0.459,189.498,0.352
Young Hearts Run Free,Candi Staton,4/4,"['Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj', 'F:min7', 'Ab:maj']","['Eb:maj', 'Ab:maj/5', 'Eb:maj7', 'Ab:maj/5', 'Eb:maj', 'Ab:maj/5', 'Eb:maj7', 'Ab:maj/5', 'Eb:maj', 'Ab:maj/5', 'Eb:maj7', 'Ab:maj/5', 'Eb:maj', 'Ab:maj/5', 'Eb:maj7', 'Ab:maj/5']",['N'],"['Ab:maj7', 'Eb:maj', 'Eb:maj/5', 'C:min7', 'C:min7', 'C:min7', 'Ab:maj7', 'Eb:maj', 'Eb:maj']","['Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)', 'Bb:sus4(9)']",1976,0.652,0.846,115.388,0.653
There's No Other (Like My Baby),The Crystals,12/8,"['D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'G:maj', 'D:maj', 'A:maj', 'D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'G:maj', 'D:maj', 'A:maj', 'D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'G:maj', 'D:maj', 'A:maj', 'D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'G:maj', 'D:maj', 'A:maj', 'D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'G:maj', 'D:maj']","['D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'B:min', 'G:maj', 'A:maj', 'D:maj', 'B:min', 'G:maj', 'A:maj']","['D:maj', 'G:maj', 'A:maj', 'D:maj', 'G:maj', 'A:maj']",[],"['D:maj', 'B:min', 'G:maj', 'A:maj']",2011,0.365,0.442,91.099,0.396
Sugar Magnolia,The Greatful Dead,4/4,"['A:maj', 'G:maj', 'D:maj', 'A:maj']","['A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'G:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'G:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'G:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'G:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj']","['A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'E:maj', 'A:maj']","['B:maj', 'B:maj', 'E:maj/5', 'B:maj', 'F#:maj', 'E:maj', 'B:maj', 'B:maj', 'E:maj/5', 'B:maj', 'F#:maj', 'E:maj']","['D:maj', 'G:maj', 'D:maj', 'D:maj', 'A:maj', 'D:maj', 'A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'E:maj', 'A:maj', 'D:maj', 'G:maj', 'D:maj', 'D:maj', 'A:maj', 'D:maj']",,,,,
I Don't Blame You At All,The Miracles,4/4,"['Ab:maj', 'Gb:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Gb:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Gb:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Gb:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Gb:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Gb:maj', 'Ab:maj', 'Ab:maj']","['Ab:maj', 'Eb:min', 'Db:maj', 'Ab:maj', 'Eb:min', 'Db:maj', 'Ab:maj', 'Eb:min', 'Db:maj', 'Ab:maj', 'Eb:min', 'Db:maj', 'Ab:maj', 'Eb:min', 'Db:maj', 'Ab:maj', 'Eb:min', 'Db:maj']","['Ab:maj', 'Db:maj']","['Ab:maj', 'Gb:maj', 'Ab:maj', 'Ab:maj']",[],1971,0.487,0.897,124.407,0.832
Letter Full of Tears,Gladys Knight & The Pips,4/4,"['E:maj', 'C#:min', 'E:maj', 'C#:min', 'E:maj', 'C#:min', 'E:maj', 'C#:min']","['E:maj', 'E:maj', 'C#:min', 'C#:min', 'E:maj', 'E:maj', 'C#:min', 'C#:min']","['E:maj', 'C#:min', 'A:maj', 'B:maj']","['E:maj', 'C#:min', 'E:maj', 'C#:min', 'E:maj', 'C#:min', 'E:maj', 'C#:min']","['A:maj', 'A:maj', 'E:maj', 'E:7']",2023,0.437,0.713,110.659,0.712
Floy Joy,The Supremes,4/4,"['F:maj', 'F:maj', 'G:min', 'G:min', 'F:maj', 'F:maj', 'G:min', 'G:min', 'F:maj', 'F:maj', 'G:min', 'G:min', 'F:maj', 'F:maj', 'G:min', 'G:min', 'F:maj', 'F:maj', 'G:min', 'G:min']","['F:maj', 'F:maj/b7', 'D:maj', 'Bb:maj', 'G:min7', 'G:min7/11', 'F:maj', 'F:maj/b7', 'D:maj', 'Bb:maj', 'G:min7', 'G:min7/11', 'F:maj', 'F:maj/b7', 'D:maj', 'Bb:maj', 'G:min7', 'G:min7/11']","['N', 'N', 'N', 'N']","['F:maj', 'F:maj', 'G:min', 'G:min', 'F:maj']","['F:maj(9)', 'F:maj(9)', 'F:maj(9)', 'F:maj(9)', 'Bb:maj', 'A:min', 'Ab:maj', 'Eb:maj', 'F:maj']",1972,0.654,0.851,136.074,0.634
Will You Love Me Tomorrow,The Shirelles,4/4,"['E:maj', 'E:maj', 'A:min', 'A:min', 'E:maj', 'E:maj', 'A:min', 'A:min', 'E:maj', 'E:maj', 'A:min', 'A:min', 'E:maj', 'E:maj', 'A:min', 'A:min']","['C:maj', 'C:maj', 'F:maj', 'G:maj', 'C:maj', 'C:maj', 'F:maj', 'G:maj', 'C:maj', 'C:maj', 'F:maj', 'G:maj']","['C:maj', 'C:maj', 'C:maj', 'C:maj']","['F:maj', 'G:maj', 'C:maj', 'C:maj']","['F:maj', 'F:maj', 'E:min', 'E:min']",2005,0.308,0.514,136.297,0.527
